college,department,href
College of Liberal Arts and Sciences,Performing Arts Entrepreneurship,/my-ui/courses/by-department.page?search=&_ticket=SVy1mMOtMqdw00t5-7oaZieYtXpT9Iue&q.academicUnitId=524
College of Liberal Arts and Sciences,Philosophy,/my-ui/courses/by-department.page?search=&_ticket=HvbzLCLU835w00t5-7oaZieYtXpT9Iue&q.academicUnitId=556
College of Liberal Arts and Sciences,Physics and Astronomy,/my-ui/courses/by-department.page?search=&_ticket=HGihw-6gXjRw00t5-7oaZieYtXpT9Iue&q.academicUnitId=530
College of Liberal Arts and Sciences,Political Science,/my-ui/courses/by-department.page?search=&_ticket=POdcYMPHiKVw00t5-7oaZieYtXpT9Iue&q.academicUnitId=557
College of Liberal Arts and Sciences,Psychological and Brain Sciences,/my-ui/courses/by-department.page?search=&_ticket=7vGPwndtQq9w00t5-7oaZkl4hxQ45GJY&q.academicUnitId=558
College of Liberal Arts and Sciences,Religious Studies,/my-ui/courses/by-department.page?search=&_ticket=k61T7W1i7PVw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=559
College of Liberal Arts and Sciences,Rhetoric,/my-ui/courses/by-department.page?search=&_ticket=X2_55kTEdfxw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=560
College of Liberal Arts and Sciences,Second Language Acquisition,/my-ui/courses/by-department.page?search=&_ticket=LTmXHHWg_Y9w00t5-7oaZkl4hxQ45GJY&q.academicUnitId=509
College of Liberal Arts and Sciences,Russian,/my-ui/courses/by-department.page?search=&_ticket=-B2zjZyUhNVw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=561
College of Liberal Arts and Sciences,Sociology,/my-ui/courses/by-department.page?search=&_ticket=7X4fPQIK1iNw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=565
College of Liberal Arts and Sciences,Communication Sciences and Disorders,/my-ui/courses/by-department.page?search=&_ticket=LWm85TqICi1w00t5-7oaZkl4hxQ45GJY&q.academicUnitId=567
College of Liberal Arts and Sciences,Spanish and Portuguese,/my-ui/courses/by-department.page?search=&_ticket=6KW_h_nEMulw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=566
College of Liberal Arts and Sciences,Sport Studies,/my-ui/courses/by-department.page?search=&_ticket=X_jQh4lx3hlw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=548
College of Liberal Arts and Sciences,School of Social Work,/my-ui/courses/by-department.page?search=&_ticket=bQd_t4w7h6hw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=564
College of Liberal Arts and Sciences,Statistics and Actuarial Science,/my-ui/courses/by-department.page?search=&_ticket=SWGDgedrxRBw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=531
College of Liberal Arts and Sciences,Swahili,/my-ui/courses/by-department.page?search=&_ticket=mnUtnvO4r3Fw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=674
College of Liberal Arts and Sciences,Theatre Arts,/my-ui/courses/by-department.page?search=&_ticket=er6uUDdVhxBw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=526
College of Liberal Arts and Sciences,"Gender, Women's, and Sexuality Studies",/my-ui/courses/by-department.page?search=&_ticket=2j9jmtffsjRw00t5-7oaZkl4hxQ45GJY&q.academicUnitId=568
College of Liberal Arts and Sciences,Magid Center for Undergraduate Writing,/my-ui/courses/by-department.page?search=&_ticket=24HHaFXJde5w00t5-7oaZkl4hxQ45GJY&q.academicUnitId=710
Tippie College of Business,Tippie College of Business Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=5OU8zdcw7cJw00t5-7oaZnAm4AbKQSK3&q.academicUnitId=410
Tippie College of Business,Accounting,/my-ui/courses/by-department.page?search=&_ticket=BKyr8p08Me1w00t5-7oaZnAm4AbKQSK3&q.academicUnitId=426
Tippie College of Business,Business Administration,/my-ui/courses/by-department.page?search=&_ticket=aBGnhm_pNXRw00t5-7oaZnAm4AbKQSK3&q.academicUnitId=427
Tippie College of Business,Economics,/my-ui/courses/by-department.page?search=&_ticket=Mgj8KhLxZm1w00t5-7oaZnAm4AbKQSK3&q.academicUnitId=428
Tippie College of Business,Entrepreneurship,/my-ui/courses/by-department.page?search=&_ticket=FgOnemDJWBZw00t5-7oaZnAm4AbKQSK3&q.academicUnitId=433
Tippie College of Business,Executive MBA Program,/my-ui/courses/by-department.page?search=&_ticket=RzanfsbJyjpw00t5-7oaZnAm4AbKQSK3&q.academicUnitId=424
Tippie College of Business,Finance,/my-ui/courses/by-department.page?search=&_ticket=LX2Tg3vh799w00t5-7oaZgjR9c-c4dAu&q.academicUnitId=429
Tippie College of Business,International Executive Program,/my-ui/courses/by-department.page?search=&_ticket=1hioPzi_j0Zw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=425
Tippie College of Business,MBA Program,/my-ui/courses/by-department.page?search=&_ticket=GTDWP6VfG1Nw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=422
Tippie College of Business,MBA Professional Program,/my-ui/courses/by-department.page?search=&_ticket=5l8wg6q8RERw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=423
Tippie College of Business,Management and Organizations,/my-ui/courses/by-department.page?search=&_ticket=oghx36bO3UNw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=430
Tippie College of Business,Marketing,/my-ui/courses/by-department.page?search=&_ticket=yuYa3DUbF0Bw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=432
Tippie College of Business,Management Sciences,/my-ui/courses/by-department.page?search=&_ticket=Qe_tCzhthAZw00t5-7oaZgjR9c-c4dAu&q.academicUnitId=431
College of Dentistry,College of Dentistry Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=bQGbbdOYy8QPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=411
College of Dentistry,Endodontics,/my-ui/courses/by-department.page?search=&_ticket=XeyIFanLwfoPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=437
College of Dentistry,Family Dentistry,/my-ui/courses/by-department.page?search=&_ticket=HeO6qw3CHscPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=445
College of Dentistry,Oral and Maxillofacial Surgery,/my-ui/courses/by-department.page?search=&_ticket=XLaQ24jNUIAPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=440
College of Dentistry,Operative Dentistry,/my-ui/courses/by-department.page?search=&_ticket=fMl_3xZVaT8Pay9rryDfKFGWPxZB1Cdo&q.academicUnitId=436
College of Dentistry,"Oral Pathology, Radiology and Medicine",/my-ui/courses/by-department.page?search=&_ticket=gT1076KAXEgPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=439
College of Dentistry,Orthodontics,/my-ui/courses/by-department.page?search=&_ticket=yzaGH3IQ_ZYPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=441
College of Dentistry,Oral Science,/my-ui/courses/by-department.page?search=&_ticket=T7PZ2FjbZs4Pay9rryDfKFGWPxZB1Cdo&q.academicUnitId=635
College of Dentistry,Preventive and Community Dentistry,/my-ui/courses/by-department.page?search=&_ticket=JpH3DEtunCoPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=444
College of Dentistry,Pediatric Dentistry,/my-ui/courses/by-department.page?search=&_ticket=2PxT22VGwLMPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=442
College of Dentistry,Periodontics,/my-ui/courses/by-department.page?search=&_ticket=G0NgAdQetVoPay9rryDfKFGWPxZB1Cdo&q.academicUnitId=443
College of Dentistry,Prosthodontics,/my-ui/courses/by-department.page?search=&_ticket=Ifm3S8wJy88Pay9rryDfKFGWPxZB1Cdo&q.academicUnitId=438
College of Engineering,College of Engineering Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=vZglZtkqCf8Pay9rryDfKN1NRs5iSp8c&q.academicUnitId=412
College of Engineering,Biomedical Engineering,/my-ui/courses/by-department.page?search=&_ticket=eqRsKeezHp0Pay9rryDfKN1NRs5iSp8c&q.academicUnitId=450
College of Engineering,Chemical and Biochemical Engineering,/my-ui/courses/by-department.page?search=&_ticket=lV3GWFrdcXkPay9rryDfKN1NRs5iSp8c&q.academicUnitId=451
College of Engineering,Civil and Environmental Engineering,/my-ui/courses/by-department.page?search=&_ticket=Id7WbCrJhg8Pay9rryDfKN1NRs5iSp8c&q.academicUnitId=452
College of Engineering,Electrical and Computer Engineering,/my-ui/courses/by-department.page?search=&_ticket=reaUId6pcYIPay9rryDfKN1NRs5iSp8c&q.academicUnitId=453
College of Engineering,Mechanical and Industrial Engineering,/my-ui/courses/by-department.page?search=&_ticket=NZLV9eLUEJEPay9rryDfKN1NRs5iSp8c&q.academicUnitId=454
Graduate College,Graduate College Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=pKgrnnrXUYQPay9rryDfKBTTpbfGzDeP&q.academicUnitId=413
Graduate College,Applied Mathematical & Computational Sciences,/my-ui/courses/by-department.page?search=&_ticket=ynliW1AvkLgPay9rryDfKBTTpbfGzDeP&q.academicUnitId=513
