college,department,href
Carver College of Medicine,Surgery,/my-ui/courses/by-department.page?search=&_ticket=L-3p7AIjSjEPay9rryDfKAjR9c-c4dAu&q.academicUnitId=611
Carver College of Medicine,Translational Biomedicine,/my-ui/courses/by-department.page?search=&_ticket=nSK_OgLgTUcPay9rryDfKAjR9c-c4dAu&q.academicUnitId=618
Carver College of Medicine,Urology,/my-ui/courses/by-department.page?search=&_ticket=S2npCGINjpIPay9rryDfKAjR9c-c4dAu&q.academicUnitId=612
University College,University College Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=U_IQ-U5NLvUPay9rryDfKAjR9c-c4dAu&q.academicUnitId=419
University College,Study Abroad,/my-ui/courses/by-department.page?search=&_ticket=z9I0Wbfj9CEPay9rryDfKAjR9c-c4dAu&q.academicUnitId=477
University College,Aerospace Studies,/my-ui/courses/by-department.page?search=&_ticket=fGBKUB_rKcUPay9rryDfKAjR9c-c4dAu&q.academicUnitId=480
University College,AGEP Summer Program,/my-ui/courses/by-department.page?search=&_ticket=4vCdg_H1n0kf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=491
University College,Belin-Blank Center for Gifted Education,/my-ui/courses/by-department.page?search=&_ticket=S10Nr30kArcf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=478
University College,Career Center Programs,/my-ui/courses/by-department.page?search=&_ticket=h5vc2R00yUwf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=489
University College,Center for Diversity and Enrichment,/my-ui/courses/by-department.page?search=&_ticket=x5_jk2S7x-of4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=483
University College,College Success Initiatives,/my-ui/courses/by-department.page?search=&_ticket=0K3xjwJdH8Af4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=487
University College,First-Year Programs,/my-ui/courses/by-department.page?search=&_ticket=842KAznmiZ0f4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=669
University College,Intercollegiate Athletic Participation,/my-ui/courses/by-department.page?search=&_ticket=dFlCvFQ-ypkf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=488
University College,Iowa Biosciences Academy,/my-ui/courses/by-department.page?search=&_ticket=m_qAV8WTZ2gf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=479
University College,International Programs,/my-ui/courses/by-department.page?search=&_ticket=IxnLCeVg_iYf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=703
University College,Lifetime Leisure Skills,/my-ui/courses/by-department.page?search=&_ticket=huPCNfan_OQf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=490
University College,Leadership Studies,/my-ui/courses/by-department.page?search=&_ticket=21JxmtiBYVgf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=675
University College,Military Science,/my-ui/courses/by-department.page?search=&_ticket=6rYEtfuE104f4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=474
University College,Orientation Training,/my-ui/courses/by-department.page?search=&_ticket=8cT6UZLcxwwf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=492
University College,Patient Care Practicum,/my-ui/courses/by-department.page?search=&_ticket=6lFp9LUCmD4f4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=494
University College,Biomedical and Health Sciences,/my-ui/courses/by-department.page?search=&_ticket=-q7QKc-Z-ngf4di3s1HnAlGWPxZB1Cdo&q.academicUnitId=713
University College,Research Experiences for Undergraduates in Microbiology,/my-ui/courses/by-department.page?search=&_ticket=KCMCrKu8wREf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=484
University College,Student Information Technology Skills,/my-ui/courses/by-department.page?search=&_ticket=7iSVE-tLCPsf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=496
University College,Summer Medical Scientist Training Program,/my-ui/courses/by-department.page?search=&_ticket=EYGZyYAw2c8f4di3s1HnAt1NRs5iSp8c&q.academicUnitId=485
University College,Secondary Student Training Program,/my-ui/courses/by-department.page?search=&_ticket=EE1BazXoqpAf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=498
University College,Student Services,/my-ui/courses/by-department.page?search=&_ticket=HXIEfjVL84Qf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=493
University College,University of Iowa Honors Program,/my-ui/courses/by-department.page?search=&_ticket=xJW8yWjyamgf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=476
University College,Iowa Lakeside Laboratory,/my-ui/courses/by-department.page?search=&_ticket=IB00Hkf9VBkf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=473
University College,University of Iowa Upward Bound,/my-ui/courses/by-department.page?search=&_ticket=HQNMgdP2Mawf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=481
University College,University Libraries,/my-ui/courses/by-department.page?search=&_ticket=cHQWd9LlDTAf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=497
University College,Undergraduate Research Experiences,/my-ui/courses/by-department.page?search=&_ticket=yObcuNwWbNMf4di3s1HnAt1NRs5iSp8c&q.academicUnitId=709
College of Education,College of Education Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=ltSUemZgGGsf4di3s1HnAhTTpbfGzDeP&q.academicUnitId=420
College of Education,Rehabilitation and Counselor Education,/my-ui/courses/by-department.page?search=&_ticket=nd_JmPVQ0B4f4di3s1HnAhTTpbfGzDeP&q.academicUnitId=447
College of Education,Education Interdepartmental,/my-ui/courses/by-department.page?search=&_ticket=3u4TCF9s0-Uf4di3s1HnAhTTpbfGzDeP&q.academicUnitId=672
College of Education,Teaching and Learning,/my-ui/courses/by-department.page?search=&_ticket=XsQY7yVh1H4f4di3s1HnAhTTpbfGzDeP&q.academicUnitId=448
College of Education,Educational Policy and Leadership Studies,/my-ui/courses/by-department.page?search=&_ticket=ly9X1UJZKPQf4di3s1HnAhTTpbfGzDeP&q.academicUnitId=446
College of Education,Psychological and Quantitative Foundations,/my-ui/courses/by-department.page?search=&_ticket=BFsfr0407V4f4di3s1HnAhTTpbfGzDeP&q.academicUnitId=449
College of Education,UI REACH Program,/my-ui/courses/by-department.page?search=&_ticket=hNHU7-vpvgcf4di3s1HnAhTTpbfGzDeP&q.academicUnitId=651
